report_id,facility_id,jurisdiction_facility_id,facility_name,registered_business_name,primary_anzsic_class_code,primary_anzsic_class_name,substance_id,substance_name,air_total_emission_kg,suburb,postcode,latitude,longitude,id
492638,549268,00022863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,20,Carbon monoxide,99051.02284,Clayton South,3169,-37.956586,145.119643,1
492638,549268,00022863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,69,Oxides of Nitrogen,135360.2982,Clayton South,3169,-37.956586,145.119643,2
492638,549268,00022863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,92,Particulate Matter  (PM2.5),2571.845666,Clayton South,3169,-37.956586,145.119643,3
492638,549268,00022863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,70,Particulate Matter  (PM10),2707.205964,Clayton South,3169,-37.956586,145.119643,4
492638,549268,00022863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,77,Sulfur dioxide,1620.007993,Clayton South,3169,-37.956586,145.119643,5
492638,549268,00022863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,85,Total Volatile Organic Compounds,16770.15568,Clayton South,3169,-37.956586,145.119643,6
492178,535856,00023870,Stonier Wines,ACCOLADE WINES FWP PTY LTD,1214,Wine and Other Alcoholic Beverage Manufacturing,85,Total Volatile Organic Compounds,255.974,Merricks,3916,-38.391457,145.06786,7
491264,524810,00004069,Dandenong,ACE WASTE PTY LTD,2921,Waste Treatment and Disposal Services,20,Carbon monoxide,1145.45,Dandenong,3175,-38.022162,145.192089,8
491264,524810,00004069,Dandenong,ACE WASTE PTY LTD,2921,Waste Treatment and Disposal Services,69,Oxides of Nitrogen,5283.48,Dandenong,3175,-38.022162,145.192089,9
491264,524810,00004069,Dandenong,ACE WASTE PTY LTD,2921,Waste Treatment and Disposal Services,92,Particulate Matter  (PM2.5),175.23,Dandenong,3175,-38.022162,145.192089,10
491264,524810,00004069,Dandenong,ACE WASTE PTY LTD,2921,Waste Treatment and Disposal Services,70,Particulate Matter  (PM10),176.06,Dandenong,3175,-38.022162,145.192089,11
